epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1498.68,0.4536,0.80839,0.88022,0.79868,0.96667,0.96232,0.87264,0.48247,1.09746,0.90446,6.99132e-05,6.99132e-05,6.99132e-05
91,1515.14,0.38882,0.98185,0.8526,0.81825,0.96667,0.96157,0.86323,0.48546,1.10587,0.90294,6.4092e-05,6.4092e-05,6.4092e-05
92,1531.62,0.39739,0.95175,0.87439,0.82766,0.96667,0.95814,0.86202,0.49078,1.10813,0.90764,5.82708e-05,5.82708e-05,5.82708e-05
93,1548.32,0.37205,0.92864,0.8467,0.84066,0.96667,0.95813,0.85418,0.50225,1.10784,0.9171,5.24496e-05,5.24496e-05,5.24496e-05
94,1564.95,0.40558,1.01881,0.87019,0.84674,0.96667,0.95721,0.85319,0.50545,1.11762,0.91904,4.66284e-05,4.66284e-05,4.66284e-05
95,1581.39,0.37025,0.96204,0.86116,0.8502,0.96667,0.9572,0.85319,0.50879,1.12731,0.92251,4.08072e-05,4.08072e-05,4.08072e-05
96,1598.04,0.3742,0.95097,0.86845,0.85031,0.96667,0.9572,0.85319,0.50542,1.13878,0.91864,3.4986e-05,3.4986e-05,3.4986e-05
97,1614.67,0.37419,0.95619,0.85945,0.85196,0.96667,0.9572,0.85427,0.50167,1.13886,0.91778,2.91648e-05,2.91648e-05,2.91648e-05
98,1632.36,0.36031,0.92572,0.82019,0.85626,0.96667,0.9572,0.85427,0.49917,1.14037,0.91642,2.33436e-05,2.33436e-05,2.33436e-05
99,1651.04,0.3813,1.00243,0.85788,0.86249,0.96667,0.95811,0.85528,0.49994,1.13963,0.91736,1.75224e-05,1.75224e-05,1.75224e-05
100,1668.52,0.38414,0.98705,0.86464,0.86355,0.96667,0.95811,0.85528,0.49978,1.13569,0.91718,1.17012e-05,1.17012e-05,1.17012e-05
